2024-07-10 18:53:15,736 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,736 INFO Probing node bootstrap-0 broker version
2024-07-10 18:53:15,736 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,736 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,736 INFO Probing node bootstrap-0 broker version
2024-07-10 18:53:15,736 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,849 INFO Broker version identified as 2.5.0
2024-07-10 18:53:15,849 INFO Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2024-07-10 18:53:15,849 INFO Updating subscribed topics to: ('processed-user-login',)
2024-07-10 18:53:15,849 INFO Listening to 'processed-user-login' topic...
2024-07-10 18:53:15,858 INFO Group coordinator for viewer-group is BrokerMetadata(nodeId='coordinator-0', host='localhost', port=29092, rack=None)
2024-07-10 18:53:15,858 INFO Discovered coordinator coordinator-0 for group viewer-group
2024-07-10 18:53:15,858 INFO Starting new heartbeat thread
2024-07-10 18:53:15,858 INFO Revoking previously assigned partitions set() for group viewer-group
2024-07-10 18:53:15,862 INFO <BrokerConnection node_id=coordinator-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,864 INFO Broker version identified as 2.5.0
2024-07-10 18:53:15,864 INFO <BrokerConnection node_id=coordinator-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,864 INFO Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2024-07-10 18:53:15,864 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Closing connection. 
2024-07-10 18:53:15,864 INFO Updating subscribed topics to: ('user-login',)
2024-07-10 18:53:15,868 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,868 INFO Probing node bootstrap-0 broker version
2024-07-10 18:53:15,868 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,966 INFO (Re-)joining group viewer-group
2024-07-10 18:53:15,966 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,969 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,973 INFO Broker version identified as 2.5.0
2024-07-10 18:53:15,973 INFO Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2024-07-10 18:53:15,973 INFO Listening to 'user-login' topic...
2024-07-10 18:53:15,973 INFO Group coordinator for consumer-group-1 is BrokerMetadata(nodeId='coordinator-0', host='localhost', port=29092, rack=None)
2024-07-10 18:53:15,973 INFO Discovered coordinator coordinator-0 for group consumer-group-1
2024-07-10 18:53:15,973 INFO Starting new heartbeat thread
2024-07-10 18:53:15,973 INFO Revoking previously assigned partitions set() for group consumer-group-1
2024-07-10 18:53:15,973 INFO <BrokerConnection node_id=coordinator-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:15,973 INFO <BrokerConnection node_id=coordinator-0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:15,973 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Closing connection. 
2024-07-10 18:53:16,085 INFO (Re-)joining group consumer-group-1
2024-07-10 18:53:18,962 INFO Elected group leader -- performing partition assignments using range
2024-07-10 18:53:18,977 INFO <BrokerConnection node_id=0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: connecting to localhost:29092 [('::1', 29092, 0, 0) IPv6]
2024-07-10 18:53:18,978 INFO <BrokerConnection node_id=0 host=localhost:29092 <connecting> [IPv6 ('::1', 29092, 0, 0)]>: Connection complete.
2024-07-10 18:53:18,978 INFO <BrokerConnection node_id=bootstrap-0 host=localhost:29092 <connected> [IPv6 ('::1', 29092, 0, 0)]>: Closing connection. 
2024-07-10 18:53:18,989 INFO Successfully joined group viewer-group with generation 3
2024-07-10 18:53:18,989 INFO Updated partition assignment: [TopicPartition(topic='processed-user-login', partition=0)]
2024-07-10 18:53:18,989 INFO Setting newly assigned partitions {TopicPartition(topic='processed-user-login', partition=0)} for group viewer-group
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '63f52fce-7cff-44b4-ad61-bb950b8d1be8', 'app_version': '2.3.0', 'ip': '89.38.219.122', 'locale': 'PA', 'device_id': '4b76f416-2d16-4c0f-a9ba-f233b7dd5605', 'timestamp': 1720655083, 'device_type': 'android', 'processed_timestamp': 1720655083.7740278, 'processed_time_human_readable': '2024-07-10 18:44:43', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '365246c7-8c37-4e2f-a58c-10ff8b527b13', 'app_version': '2.3.0', 'ip': '138.69.214.157', 'locale': 'HI', 'device_id': '2fc6af37-2ef0-4901-a114-dc7bd6e8c882', 'timestamp': 1720655087, 'device_type': 'android', 'processed_timestamp': 1720655087.294635, 'processed_time_human_readable': '2024-07-10 18:44:47', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '526df65a-f021-4f99-a135-44622cd31822', 'app_version': '2.3.0', 'ip': '19.207.203.18', 'locale': 'MI', 'device_id': '76faeee9-f8d2-4cfa-8144-a03e9b00cf01', 'timestamp': 1720655087, 'device_type': 'android', 'processed_timestamp': 1720655087.7962353, 'processed_time_human_readable': '2024-07-10 18:44:47', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '921fee34-77d9-478a-b62b-a3f5f38b9010', 'app_version': '2.3.0', 'ip': '198.180.155.250', 'locale': 'WY', 'device_id': 'bee2178d-6dee-48c7-92dd-594247f33b65', 'timestamp': 1720655088, 'device_type': 'android', 'processed_timestamp': 1720655088.3078647, 'processed_time_human_readable': '2024-07-10 18:44:48', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '67e92041-cb74-4aff-a4fc-162c37445efc', 'app_version': '2.3.0', 'ip': '102.181.223.72', 'locale': 'WI', 'device_id': '3fc99d45-8cee-49e0-b424-c363b3694058', 'timestamp': 1720655089, 'device_type': 'android', 'processed_timestamp': 1720655089.3233001, 'processed_time_human_readable': '2024-07-10 18:44:49', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '51537599-c723-4f3f-9ebc-8abd0d5512dd', 'app_version': '2.3.0', 'ip': '114.171.230.224', 'locale': 'TX', 'device_id': 'dbea172b-9c8a-4d02-a4e4-92e2a51a9ca7', 'timestamp': 1720655089, 'device_type': 'android', 'processed_timestamp': 1720655089.8171117, 'processed_time_human_readable': '2024-07-10 18:44:49', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': 'e6cd7240-b567-4367-b80c-adcdc47bea39', 'app_version': '2.3.0', 'ip': '131.128.46.184', 'locale': 'ME', 'device_id': '7b35589e-37ab-4c78-a811-c44795877a29', 'timestamp': 1720655090, 'device_type': 'android', 'processed_timestamp': 1720655090.3322399, 'processed_time_human_readable': '2024-07-10 18:44:50', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': 'acb91a4d-9a17-4dd8-81d1-3d49bd889d38', 'app_version': '2.3.0', 'ip': '87.156.170.59', 'locale': 'ME', 'device_id': '13c68320-0c49-4d86-a6fe-75d0b665013a', 'timestamp': 1720655091, 'device_type': 'android', 'processed_timestamp': 1720655091.8415816, 'processed_time_human_readable': '2024-07-10 18:44:51', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '5674346c-6d69-4254-9701-92349cf2230d', 'app_version': '2.3.0', 'ip': '114.118.60.31', 'locale': 'DE', 'device_id': '354c5994-2ec7-4010-adee-1932e7129c1b', 'timestamp': 1720655092, 'device_type': 'android', 'processed_timestamp': 1720655092.8521354, 'processed_time_human_readable': '2024-07-10 18:44:52', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '7025061f-5f8d-4593-aa65-82ee3005739a', 'app_version': '2.3.0', 'ip': '68.77.135.226', 'locale': 'SD', 'device_id': 'ea70f991-904a-42cc-a14d-e47c240aab49', 'timestamp': 1720655093, 'device_type': 'android', 'processed_timestamp': 1720655093.338595, 'processed_time_human_readable': '2024-07-10 18:44:53', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '32de873b-9984-448b-9b6e-15dddac12083', 'app_version': '2.3.0', 'ip': '18.182.252.70', 'locale': 'WV', 'device_id': '40444bda-b144-4bdc-a097-fb75a7430bc7', 'timestamp': 1720655093, 'device_type': 'android', 'processed_timestamp': 1720655093.8553712, 'processed_time_human_readable': '2024-07-10 18:44:53', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': 'b35998cc-374c-4f6d-85bb-2b5112491dfc', 'app_version': '2.3.0', 'ip': '134.6.238.94', 'locale': 'NY', 'device_id': '340cde8f-e0c2-4e95-8ddf-0c93cfb888ea', 'timestamp': 1720655094, 'device_type': 'android', 'processed_timestamp': 1720655094.358341, 'processed_time_human_readable': '2024-07-10 18:44:54', 'device_category': 'Mobile', 'anomaly': False}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '539989fa-f503-47b5-83ce-148c0f766859', 'app_version': '2.3.0', 'ip': '237.79.249.241', 'locale': 'MO', 'device_id': '2bb20d9a-f55b-4997-bbfe-869a4b0f4738', 'timestamp': 1720655094, 'device_type': 'android', 'processed_timestamp': 1720655094.8601124, 'processed_time_human_readable': '2024-07-10 18:44:54', 'device_category': 'Mobile', 'anomaly': True}
2024-07-10 18:53:18,994 INFO Processed Data: {'user_id': '9f51555e-8a0a-43a7-9cf4-2a0bc9812a2c', 'app_version': '2.3.0', 'ip': '230.234.61.102', 'locale': 'ID', 'device_id': '36aa020f-df9f-4b56-a418-c93b07a9c274', 'timestamp': 1720655096, 'device_type': 'android', 'processed_timestamp': 1720655096.8751519, 'processed_time_human_readable': '2024-07-10 18:44:56', 'device_category': 'Mobile', 'anomaly': False}
